fragment_ID,Sample,Diameter,weight1.g,weight2.g,Notes
1,Standard,7.44,135.232,138.738,
2,Standard,6.22,92.018,95.46,
3,Standard,5.08,37.13,39.121,
4,Standard,3.16,11.512,12.089,
5,Standard,2.52,6.146,6.525,
6,Standard,1.9,2.576,2.785,
7,Standard,1.18,0.495,0.56,
PI,Coral,NA,11.25,12.076,
POC-150-22,Coral,NA,41.03,44.042,
POC-150-25,Coral,NA,39.765,42.376,
POC-150-28,Coral,NA,27.911,29.907,
POC-150-30,Coral,NA,54.231,57.805,
POC-150-32,Coral,NA,20.195,21.725,
POC-150-36,Coral,NA,50.017,52.25,
POC-154-22,Coral,NA,16.077,17.416,
POC-154-25,Coral,NA,28.634,30.65,
POC-154-28,Coral,NA,13.471,14.487,
POC-154-30,Coral,NA,7.273,7.854,
POC-154-32,Coral,NA,9.869,10.589,
POC-154-36,Coral,NA,41.912,45.446,
POC-156-22,Coral,NA,28.699,30.904,
POC-156-25,Coral,NA,21.055,22.568,
POC-156-28,Coral,NA,23.934,25.735,
POC-156-30,Coral,NA,54.045,58.157,
POC-156-32,Coral,NA,41.34,44.505,
POC-156-36,Coral,NA,10.425,11.089,
POC-159-22,Coral,NA,65.031,68.738,
POC-159-25,Coral,NA,28.177,29.82,
POC-159-28,Coral,NA,32.953,34.803,
POC-159-30,Coral,NA,25.779,27.263,
POC-159-32,Coral,NA,46.806,49.825,
POC-159-36,Coral,NA,36.937,39.165,
POC-162-22,Coral,NA,33.137,35.618,
POC-162-25,Coral,NA,24.569,26.292,
POC-162-28,Coral,NA,24.833,26.418,
POC-162-30,Coral,NA,23.721,25.374,
POC-162-32,Coral,NA,34.466,37.119,
POC-162-36,Coral,NA,22.548,23.625,
POC-165-22,Coral,NA,28.111,29.836,
POC-165-25,Coral,NA,32.218,34.171,
POC-165-28,Coral,NA,70.942,74.983,
POC-165-30,Coral,NA,54.512,57.882,
POC-165-32,Coral,NA,58.044,61.631,
POC-165-36,Coral,NA,64.037,67.963,
POC-167-22,Coral,NA,32.272,34.036,
POC-167-25,Coral,NA,34.871,36.951,
POC-167-28,Coral,NA,56.58,59.947,
POC-167-30,Coral,NA,51.434,54.639,
POC-167-32,Coral,NA,16.416,17.416,
POC-167-36,Coral,NA,74.025,78.287,
POC-168-22,Coral,NA,24.301,25.664,
POC-168-25,Coral,NA,29.383,30.949,
POC-168-28,Coral,NA,18.797,19.716,
POC-168-30,Coral,NA,35.411,37.898,
POC-168-32,Coral,NA,38.671,40.979,
POC-168-36,Coral,NA,52.042,56.026,
POC-169-22,Coral,NA,28.762,30.82,
POC-169-25,Coral,NA,30.728,32.406,
POC-169-28,Coral,NA,22.192,23.744,
POC-169-30,Coral,NA,47.087,49.543,
POC-169-32,Coral,NA,75.866,81.39,
POC-169-36,Coral,NA,58.273,61.831,
POC-175-22,Coral,NA,20.112,21.774,
POC-175-25,Coral,NA,27.689,29.88,
POC-175-28,Coral,NA,17.271,18.946,
POC-175-30,Coral,NA,22.165,24.006,
POC-175-32,Coral,NA,52.144,56.459,
POC-175-36,Coral,NA,44.576,47.45,
POC-178-22,Coral,NA,27.422,29.275,
POC-178-25,Coral,NA,20.77,22.193,
POC-178-28,Coral,NA,17.85,19.383,
POC-178-30,Coral,NA,46.392,49.137,
POC-178-32,Coral,NA,58.177,61.755,
POC-178-36,Coral,NA,70.036,74.592,
POC-179-22,Coral,NA,18.769,20.195,
POC-179-25,Coral,NA,52.874,56.227,
POC-179-28,Coral,NA,59.009,63.414,
POC-179-30,Coral,NA,23.454,25.352,
POC-179-32,Coral,NA,34.488,36.808,
POC-179-36,Coral,NA,25.607,27.54,
POC-181-22,Coral,NA,45.188,47.451,
POC-181-25,Coral,NA,34.725,37.561,
POC-181-28,Coral,NA,18.552,19.953,
POC-181-30,Coral,NA,39.316,42.458,
POC-181-32,Coral,NA,46.825,50.216,
POC-181-36,Coral,NA,26.808,28.389,
