"","Species","Number.x","Temp.Cat","Light_Value","micromol.L.s","Treatment","Run","Chamber.Vol.L","Date","micromol.s","micromol.s.blank","micromol.s.adj","surface.area.cm2","micromol.cm2.s","micromol.cm2.h","fragment_ID","Number.y","Timepoint","ID","site","genus","Morphology","mtORF","PocHistone","species","TPCBASS"
"54","POC","175","36","620",0.00444324620382263,"Field",22,0.584,2022-05-25,0.00259485578303242,-0.00170305853528401,0.00429791431831643,56.4643650272202,7.61172877131355e-05,0.274022235767288,"POC-175",175,"May","POC-175May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"55","POC","178","22","620",0.0167556265984655,"Field",23,0.606,2022-05-26,0.0101539097186701,-1.89591858825192e-05,0.0101728689045526,103.054293908833,9.87136830373321e-05,0.355369258934396,"POC-178",178,"May","POC-178May","Manava","Pocillopora","grandis","Unk long Branch off  Hap 1a",NA,"P. grandis","Yes"
"56","POC","178","25","620",0.0155556890331893,"Field",24,0.6,2022-05-26,0.00933341341991355,-0.000530838856345015,0.00986425227625857,131.262697177079,7.51489378810437e-05,0.270536176371757,"POC-178",178,"May","POC-178May","Manava","Pocillopora","grandis","Unk long Branch off  Hap 1a",NA,"P. grandis","Yes"
"57","POC","178","28","620",0.00898597839135655,"Field",25,0.609,2022-05-26,0.00547246084033614,-0.000642867000590851,0.00611532784092699,61.0707139279447,0.000100135194884773,0.360486701585184,"POC-178",178,"May","POC-178May","Manava","Pocillopora","grandis","Unk long Branch off  Hap 1a",NA,"P. grandis","Yes"
"58","POC","178","30","620",0.0220648851703234,"Field",23,0.595,2022-05-26,0.0131286066763424,-1.89591858825192e-05,0.013147565862225,82.2599188712773,0.000159829550559108,0.57538638201279,"POC-178",178,"May","POC-178May","Manava","Pocillopora","grandis","Unk long Branch off  Hap 1a",NA,"P. grandis","Yes"
"59","POC","178","32","620",0.0236786303939961,"Field",24,0.588,2022-05-26,0.0139230346716697,-0.000530838856345015,0.0144538735280147,90.9023068088268,0.000159004474533436,0.572416108320371,"POC-178",178,"May","POC-178May","Manava","Pocillopora","grandis","Unk long Branch off  Hap 1a",NA,"P. grandis","Yes"
"60","POC","178","36","620",-0.00190670787545786,"Field",25,0.576,2022-05-26,-0.00109826373626372,-0.000642867000590851,-0.000455396735672874,139.071555313545,-3.27454981463431e-06,-0.0117883793326835,"POC-178",178,"May","POC-178May","Manava","Pocillopora","grandis","Unk long Branch off  Hap 1a",NA,"P. grandis","Yes"
"61","POC","179","22","620",0.0158178519593615,"Field",23,0.604,2022-05-26,0.00955398258345435,-1.89591858825192e-05,0.00957294176933687,63.6151733207258,0.000150482051209283,0.541735384353419,"POC-179",179,"May","POC-179May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"62","POC","179","25","620",0.0461646688560469,"Field",24,0.583,2022-05-26,0.0269140019430753,-0.000530838856345015,0.0274448407994203,106.212933155044,0.000258394528652718,0.930220303149785,"POC-179",179,"May","POC-179May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"63","POC","179","28","620",0.0407146481374799,"Field",25,0.584,2022-05-26,0.0237773545122883,-0.000642867000590851,0.0244202215128791,56.5959749958124,0.000431483361046188,1.55334009976628,"POC-179",179,"May","POC-179May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"64","POC","179","30","620",0.0197574538619277,"Field",23,0.6,2022-05-26,0.0118544723171566,-1.89591858825192e-05,0.0118734315030391,44.0930279795603,0.000269281381821706,0.969412974558142,"POC-179",179,"May","POC-179May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"65","POC","179","32","620",0.0203237046818729,"Field",24,0.594,2022-05-26,0.0120722805810325,-0.000530838856345015,0.0126031194373775,139.071555313545,9.0623272379194e-05,0.326243780565098,"POC-179",179,"May","POC-179May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"66","POC","179","36","620",-0.00324590156062434,"Field",25,0.6,2022-05-26,-0.00194754093637461,-0.000642867000590851,-0.00130467393578375,29.8791513716106,-4.36650264780739e-05,-0.157194095321066,"POC-179",179,"May","POC-179May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"67","POC","181","22","620",0.0192720158102766,"Field",28,0.598,2022-05-29,0.0115246654545454,-0.000346226363023798,0.0118708918175692,83.2250586409527,0.000142636028275838,0.513489701793017,"POC-181",181,"May","POC-181May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"68","POC","181","25","620",0.0175348982423682,"Field",28,0.598,2022-05-29,0.0104858691489362,-0.000346226363023798,0.01083209551196,85.6817780546724,0.000126422394094672,0.455120618740818,"POC-181",181,"May","POC-181May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"69","POC","181","28","620",0.0127530913978491,"Field",26,0.608,2022-05-29,0.00775387956989223,-0.000316155872137899,0.00807003544203013,32.3358707853304,0.000249569139350075,0.89844890166027,"POC-181",181,"May","POC-181May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"70","POC","181","30","620",0.0213003340080972,"Field",26,0.593,2022-05-29,0.0126310980668017,-0.000316155872137899,0.0129472539389396,56.2888850690973,0.000230014396679667,0.828051828046802,"POC-181",181,"May","POC-181May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"71","POC","181","32","620",0.0214457388663962,"Field",27,0.59,2022-05-29,0.0126529859311738,-0.00123547002435757,0.0138884559555313,75.2407205463637,0.00018458696108543,0.664513059907547,"POC-181",181,"May","POC-181May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"72","POC","181","36","620",0.00497616086434577,"Field",27,0.6,2022-05-29,0.00298569651860746,-0.00123547002435757,0.00422116654296503,29.5720614448956,0.000142741707433238,0.513870146759658,"POC-181",181,"May","POC-181May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
