fragment_ID,surface.area.cm2
POC-150-22,45.538822453460824
POC-150-25,101.36892414649756
POC-150-28,71.73634237317336
POC-150-30,66.60444273645243
POC-150-32,168.08361942387054
POC-150-36,36.97186096312814
POC-154-22,61.10006651319529
POC-154-25,72.64684069581747
POC-154-28,74.75754135285588
POC-154-30,46.573479638283544
POC-154-32,41.64851143852714
POC-154-36,103.7693288152867
POC-156-22,98.59604289117281
POC-156-25,123.01395245299025
POC-156-28,63.00383573326917
POC-156-30,82.95202625665243
POC-156-32,93.29859810488018
POC-156-36,59.5273875922648
POC-157-22,52.202014723719415
POC-157-25,101.61724187085534
POC-157-28,43.59366694599398
POC-157-30,58.65827555701349
POC-157-32,98.59604289117252
POC-157-36,47.566750535713446
POC-159-22,51.3329026884684
POC-159-25,51.95369699936194
POC-159-28,96.52672852152708
POC-159-30,31.674416176835514
POC-159-32,92.80196265616524
POC-159-36,167.50421140036997
POC-162-22,56.464802325189176
POC-162-25,172.76026989926888
POC-162-28,85.60074864979873
POC-162-30,71.65356979838772
POC-162-32,122.26899927991775
POC-162-36,66.52167016166665
POC-165-22,67.34939590952486
POC-165-25,69.12900626742
POC-165-28,57.25114178565456
POC-165-30,99.09267833988777
POC-165-32,114.32283210047912
POC-165-36,65.15592267770069
POC-167-22,54.02301136900738
POC-167-25,41.40019371416966
POC-167-28,42.020988025063204
POC-167-30,38.95840275798787
POC-167-32,33.86788940865991
POC-167-36,70.03950459006398
POC-168-22,48.80833915750068
POC-168-25,54.85073711686587
POC-168-28,68.4668256691335
POC-168-30,117.13709964319698
POC-168-32,64.36958321723529
POC-168-36,62.300268847589855
POC-169-22,105.46616659839592
POC-169-25,32.626300786872534
POC-169-28,68.1357353699901
POC-169-30,62.05195112323223
POC-169-32,52.326173585898154
POC-169-36,68.42543938174069
POC-174-22,68.21850794477588
POC-174-25,75.25417680157068
POC-174-28,61.67947453669602
POC-174-30,78.19260320646757
POC-174-32,59.982636753586796
POC-174-36,80.5516215878636
POC-175-22,25.75617707964924
POC-175-25,22.941909536931306
POC-175-28,40.15860509238228
POC-175-30,57.00282406129708
POC-175-32,87.67006301944431
POC-175-36,56.29925717561762
POC-178-22,100.25149438688892
POC-178-25,126.86287718053106
POC-178-28,60.6448173518733
POC-178-30,80.63439416264951
POC-178-32,88.78749277905281
POC-178-36,134.22963633646881
POC-179-22,63.04522202066213
POC-179-25,103.23130707917893
POC-179-28,56.42341603779636
POC-179-30,44.6283241308167
POC-179-32,134.2296363364691
POC-179-36,31.219167015513523
POC-181-22,81.54489248529335
POC-181-25,83.8625245792964
POC-181-28,33.536799109516586
POC-181-30,56.13371202604592
POC-181-32,74.01258817978359
POC-181-36,30.929463003763086
POC-183-22,64.32819692984233
POC-183-25,41.15187598981219
POC-183-28,45.290504729103276
POC-183-30,46.11823047696156
POC-183-32,46.11823047696148
POC-183-36,29.563715519797043
