species,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
P. grandis,0.2414922868825586,30.409,-14.624,33.622,0.44293835063792725,NA,1.7750883275886822,3.213000000000001,48.246,5.687000000000001,NA
P. verrucosa,0.23796179710557935,24.906,-Inf,38.266000000000005,NA,0.7670581626344438,NA,13.360000000000007,Inf,9.395,NA
