species,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
P. grandis,0.24746720468523178,29.957,3.3260000000000005,34.558,1.1522096191383884,3.1585755592349165,NA,4.600999999999999,31.232,4.311,-2.0063659400965284
P. verrucosa,0.25183264576918946,25,-Inf,39.277,NA,0.7670581626344438,NA,14.277000000000001,Inf,5.686,NA
