fragment_ID,rss,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
POC-150,0.03565484208006502,0.16631907237387653,22,-Inf,33.835,NA,1.0282939218772695,NA,11.835,Inf,9.390999999999998,NA
POC-154,0.00876704150259659,0.17413074715898083,30.866,1.216000000000001,33.479,0.7304555346113415,NA,2.5738348715814636,2.6129999999999995,32.263,3.7759999999999962,NA
POC-156,0.012761078550725424,0.1524017510800596,28.161,-10.754999999999999,33.771,0.7105934666101001,2.9456108022649548,2.561739987800314,5.609999999999999,44.525999999999996,5.992000000000001,-2.2350173356548546
POC-157,4.903262613921324e-4,0.12258341681406351,29.295,-Inf,36.588,0.38015213658111147,1.8757149507069806,1.639596819219982,7.292999999999999,Inf,10.022999999999996,-1.495562814125869
POC-159,0.005221944194364522,0.19810215391671268,30.078,-Inf,38.7,0.3294625872154667,NA,1.5398221806835741,8.622000000000003,Inf,10.995999999999999,NA
POC-162,0.001670162795230863,0.09881250547228378,30.956,-Inf,33.927,0.2593161540174272,NA,1.394528269685025,2.971,Inf,8.295000000000005,NA
POC-165,0.009276841966695806,0.15451978151316187,27.859,7.800000000000004,37.406,NA,2.2572016469493894,NA,9.546999999999997,29.605999999999995,5.234999999999999,NA
POC-167,0.005055297986503378,0.10679022336547356,22,-Inf,34.706,NA,0.5256068860861504,NA,12.706000000000003,Inf,10.945999999999998,NA
POC-168,0.0027273916541799676,0.15348401830254338,28.015,-7.164999999999999,38.745999999999995,0.19949753798608733,2.509733309618007,1.292086826218091,10.730999999999995,45.910999999999994,7.475000000000001,-2.3102357716319197
POC-169,0.001986556881612638,0.1398672730855418,31.628,-Inf,34.768,0.14644963404643838,NA,1.2052934704404836,3.1400000000000006,Inf,11.057000000000002,NA
POC-174,0.010555128459641206,0.07825991979829783,31.204,-19.305999999999997,34.03,0.39252783152905346,NA,1.6690991631351815,2.8260000000000005,53.336,5.988999999999997,NA
POC-175,0.0036096395135118485,0.15896196685916214,22,-Inf,38.847,NA,0.7772584864206145,NA,16.847,Inf,6.582000000000001,NA
POC-178,0.0042824105118102656,0.11033826546173915,28.736,-21.732,37.472,0.4422829252775484,1.9367984648676342,1.800682598176836,8.736,59.204,8.547,-1.4945155395900858
POC-179,0.01351795723252534,0.14745312484426626,22,-Inf,34.711,NA,0.8814744578220146,NA,12.710999999999999,Inf,8.780999999999999,NA
POC-181,0.009968345698025015,0.0825500694913339,22,-Inf,34.539,NA,0.9082833997028265,NA,12.539000000000001,Inf,10.780999999999999,NA
POC-183,0.030050016881965323,0.13227173079128307,29.073999999999998,-Inf,34.156,0.7487911145789183,4.350840562970339,2.68077615425723,5.082000000000001,Inf,9.417000000000002,-3.60204944839142
