tag_number,term,curve,estimate,std.error,statistic,p.value
83,hill,Intercept,54.625807686097474,1.8842566773459746,28.990640363837993,9.15154135097749e-7
83,max,Intercept,0.5686507127217685,0.0037938547804052206,149.88731663077283,2.5076821288497963e-10
83,ED50,Intercept,35.67359354899193,0.0261539327140365,1363.9858272574947,4.008521868699532e-15
84,hill,Intercept,72.13262424531138,7.552574811460522,9.550732835622494,2.130173538115404e-4
84,max,Intercept,0.5822861099535088,0.01109264863708565,52.49297341004499,4.743629971103323e-8
84,ED50,Intercept,35.541360234995075,0.0680755284617455,522.0871734395314,4.893411586214534e-13
85,hill,Intercept,61.70855446258582,4.904031750558731,12.58322898410174,5.628542735842296e-5
85,max,Intercept,0.599401439485389,0.00891497157299224,67.23537305506008,1.378116692089861e-8
85,ED50,Intercept,35.81276447539084,0.05766709316449831,621.0260047828857,2.0554033803438379e-13
86,hill,Intercept,58.905847197339675,3.505987376350542,16.80150008373848,1.365273670561198e-5
86,max,Intercept,0.5678157032580259,0.005778647885994485,98.26099711564392,2.0697420875773153e-9
86,ED50,Intercept,36.23512143593167,0.04137611445878997,875.7497389471247,3.685301460286943e-14
87,hill,Intercept,37.922629941656005,3.913658039046109,9.689816934261081,1.9879355615732945e-4
87,max,Intercept,0.5726346863312731,0.016330675140604885,35.06497321151554,3.549435632063266e-7
87,ED50,Intercept,35.26740656794999,0.12591320010134638,280.0930048602019,1.1008578236110855e-11
99,hill,Intercept,49.27552872643431,2.8169165316958233,17.492718783814922,1.119256640525873e-5
99,max,Intercept,0.5593379102053827,0.006193310492502015,90.31323568914395,3.154834164645309e-9
99,ED50,Intercept,36.08650626708372,0.04724188152936364,763.8668295769255,7.290563202738313e-14
100,hill,Intercept,71.59050134447192,12.05959627064796,5.936392872348236,0.0019362217775358197
100,max,Intercept,0.5736289626167155,0.014978707829628964,38.296291585448785,2.2874559714381163e-7
100,ED50,Intercept,35.41385718482453,0.08831444527074267,400.99733487831395,1.8305131412456094e-12
150,hill,Intercept,49.8169961004913,4.753676520081954,10.4796773381695,1.364902963042898e-4
150,max,Intercept,0.5695698567294881,0.01141218926676716,49.908903840922335,6.103057396223492e-8
150,ED50,Intercept,35.90396680761628,0.08477435345810845,423.5239237225012,1.3927309594757429e-12
151,hill,Intercept,46.95412634562829,2.9197427276090844,16.08159715636248,1.6936819517901483e-5
151,max,Intercept,0.5664035980933764,0.00740782984541833,76.4601252880682,7.249920237815289e-9
151,ED50,Intercept,36.00957105267702,0.05704643160241612,631.232665062119,1.8939436748120295e-13
154,hill,Intercept,46.10842148389555,13.591317426243469,3.3924909585927865,0.019408691477868233
154,max,Intercept,0.5602557148803265,0.03382438084486134,16.56366505125375,1.464566818850086e-5
154,ED50,Intercept,35.750791451738436,0.2520698256384745,141.82892125697427,3.305586869099481e-10
156,hill,Intercept,56.338529137976835,7.214412679595963,7.8091636339733235,5.518912561441364e-4
