"","fragment_ID","rss","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","Number","Timepoint","ID","site","genus","Morphology","mtORF","PocHistone","species","TPCBASS"
"1","POC-150",0.00594712006102388,0.184000434326237,22,-Inf,34.385,NA,0.382497009293199,NA,12.385,Inf,7.87,NA,150,"Dec","POC-150Dec","Manava","Pocillopora","grandis","Haplotype_1a","P. grandis","P. grandis","Yes"
"2","POC-154",0.00333236770144274,0.144513306036518,29.787,-5.915,35.04,0.791127376618732,NA,2.82550258423116,5.253,40.955,6.26,NA,154,"Dec","POC-154Dec","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"3","POC-156",0.0151596668929492,0.128880181471265,22,-Inf,36.131,NA,0.550177095101379,NA,14.131,Inf,8.407,NA,156,"Dec","POC-156Dec","Manava","Pocillopora","grandis","Haplotype_1a","P. grandis","P. grandis","Yes"
"4","POC-159",0.000341272462508904,0.174552947724987,22,-Inf,38.976,NA,0.511854519850721,NA,16.976,Inf,7.14,NA,159,"Dec","POC-159Dec","Manava","Pocillopora","grandis","Haplotype_1a","P. grandis","P. grandis","Yes"
"5","POC-162",0.000395935959911627,0.0996207940101741,28.679,-4.488,35.286,0.53290343397735,2.6230934543666,1.9977723100285,6.607,39.774,8.266,-2.09019002038925,162,"Dec","POC-162Dec","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"6","POC-165",0.0100847933320687,0.128628647470338,28.116,-Inf,36.144,1.23388833342651,1.42578977122685,NA,8.028,Inf,10.017,-0.191901437800345,165,"Dec","POC-165Dec","Manava","Pocillopora","grandis","Haplotype_1a","P. grandis","P. grandis","Yes"
"7","POC-167",0.00433320954601524,0.121274720182576,26.091,-Inf,35.669,NA,1.98716364099837,NA,9.578,Inf,8.795,NA,167,"Dec","POC-167Dec","Manava","Pocillopora","grandis","Haplotype_1a","P. grandis","P. grandis","Yes"
"8","POC-168",0.00339663878705282,0.141165606194234,27.456,-Inf,36.672,NA,1.02175902307957,NA,9.216,Inf,10.083,NA,168,"Dec","POC-168Dec","Manava","Pocillopora","grandis","Haplotype_1a","P. grandis","P. grandis","Yes"
"9","POC-169",0.00147784650680804,0.144101467281568,28.945,-1.442,35.631,0.35649162645747,2.10114838404379,1.58726938426506,6.686,37.073,8.979,-1.74465675758632,169,"Dec","POC-169Dec","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"10","POC-175",0.00189283226866993,0.171242235900518,22,-Inf,36.033,NA,0.777258486420614,NA,14.033,Inf,5.047,NA,175,"Dec","POC-175Dec","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"11","POC-178",0.00438008397984543,0.10406720812687,28.428,-Inf,36.698,0.442282925277548,1.93679846486763,1.80068259817684,8.27,Inf,10.347,-1.49451553959009,178,"Dec","POC-178Dec","Manava","Pocillopora","grandis","Unk long Branch off  Hap 1a","P. grandis","P. grandis","Yes"
"12","POC-179",0.00339154849124432,0.155088604164109,22,-Inf,34.074,NA,0.881474457822015,NA,12.074,Inf,8.073,NA,179,"Dec","POC-179Dec","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"13","POC-181",0.00175684739647634,0.0942068761139524,27.597,-2.273,34.182,NA,2.41579568747508,NA,6.585,36.455,8.878,NA,181,"Dec","POC-181Dec","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
