tag_number,term,curve,estimate,std.error,statistic,p.value
83,hill,Intercept,56.16850474357904,2.4511025152229897,22.915608137454463,2.9432454212069182e-6
83,max,Intercept,0.5677913983871844,0.00473004134325865,120.03941555318795,7.609596967445661e-10
83,ED50,Intercept,35.66736380467087,0.03234584431154872,1102.6876732952132,1.1594291636641092e-14
84,hill,Intercept,69.48857299720834,8.180722486052309,8.494185338236642,3.7176911776357877e-4
84,max,Intercept,0.5821855511326708,0.012735405970246522,45.71393738784766,9.458813222779547e-8
84,ED50,Intercept,35.580650251314204,0.07992400056454065,445.1810469945374,1.0853860534875403e-12
85,hill,Intercept,61.64001197017199,7.142951392026251,8.62948781073624,3.4501595847487353e-4
85,max,Intercept,0.5973593992667883,0.012719863018917133,46.96272266284536,8.268562991586328e-8
85,ED50,Intercept,35.88874034382941,0.08372687121746619,428.6406481213727,1.3116243904537579e-12
86,hill,Intercept,60.484492330467766,4.003511014103959,15.107862103385527,2.3020539329887906e-5
86,max,Intercept,0.5673025648249805,0.006264916289068032,90.55229769229244,3.113430461550352e-9
86,ED50,Intercept,36.222937030157546,0.04428594017402617,817.9331157431857,5.190178254521558e-14
87,hill,Intercept,36.39950884218979,6.076677853965084,5.99003431100742,0.001859920914133876
87,max,Intercept,0.5788320148510201,0.027682896283726884,20.909373387757867,4.634620981160914e-6
87,ED50,Intercept,35.07940938316635,0.21008296216945396,166.9788402682133,1.4616041925088466e-10
99,hill,Intercept,47.765683914187925,4.0311360020122855,11.849186901742828,7.538380945201954e-5
99,max,Intercept,0.5669285571220141,0.009368410843988206,60.51491192722587,2.3319650229558244e-8
99,ED50,Intercept,36.05714041182479,0.07088296817885995,508.68553247997914,5.572838400853465e-13
100,hill,Intercept,79.0409968824483,15.307204289887776,5.163646828354166,0.0035738155808559945
100,max,Intercept,0.5704607882759016,0.016105294978800342,35.42069791499058,3.375333028535524e-7
100,ED50,Intercept,35.46714852860454,0.09313819521090089,380.8013291248902,2.3701370541091568e-12
150,hill,Intercept,49.8169961004913,4.753676520081954,10.4796773381695,1.364902963042898e-4
150,max,Intercept,0.5695698567294881,0.01141218926676716,49.908903840922335,6.103057396223492e-8
150,ED50,Intercept,35.90396680761628,0.08477435345810845,423.5239237225012,1.3927309594757429e-12
151,hill,Intercept,47.62655730773348,3.927137042425798,12.12755164722097,6.734573551266615e-5
151,max,Intercept,0.5645230441044647,0.009556583058535297,59.07164105064422,2.630729019610683e-8
151,ED50,Intercept,36.06764082029197,0.07396574495603392,487.626276754611,6.883754217336307e-13
154,hill,Intercept,37.255601386220384,12.087189008277628,3.082238671101011,0.0273998488769718
154,max,Intercept,0.5668898833222678,0.04559417924270652,12.433382785653508,5.966487043343177e-5
154,ED50,Intercept,35.86251932436068,0.37722218012341524,95.07001765545068,2.441019811738006e-9
156,hill,Intercept,58.56864836633013,9.269587130770393,6.31836645365914,0.001463044010804156
156,max,Intercept,0.5715332262976067,0.01568728636147157,36.432893052893384,2.933164103419667e-7
156,ED50,Intercept,36.12679619070831,0.11198476437027853,322.60456495005667,5.431273140876588e-12
157,hill,Intercept,53.252823415441014,7.328999554918598,7.266042659219739,7.717634421324749e-4
157,max,Intercept,0.5761050601807928,0.013925014822871505,41.37195310087239,1.5561771782802816e-07
157,ED50,Intercept,36.06621025200523,0.09892563293213341,364.5790194412803,2.946529680648435e-12
162,hill,Intercept,78.21073371922014,10.880748302692819,7.187992180635608,8.11286998132471e-4
162,max,Intercept,0.582696635587604,0.013245511993216252,43.99200543444713,1.1456018316071754e-7
162,ED50,Intercept,35.52406132574176,0.07814778361575386,454.57541701260027,9.778440006583086e-13
164,hill,Intercept,74.23864996908078,9.552616459964483,7.771551415281757,5.644841781858279e-4
164,max,Intercept,0.5771135731400711,0.011713159911109166,49.27052798047404,6.508080343494493e-8
164,ED50,Intercept,35.60319843561409,0.07027300235416702,506.6412027791055,5.685016118442869e-13
165,hill,Intercept,55.840266377557136,7.795482932620133,7.163156774276807,8.243626682404126e-4
165,max,Intercept,0.5773976374756509,0.01579474465387022,36.556313516228315,2.8841393183611744e-7
165,ED50,Intercept,35.59273033638685,0.1060913707493037,335.49128534207813,4.465337608140601e-12
167,hill,Intercept,61.09281328295443,9.501927430485722,6.429517982524886,0.0013519477095462942
167,max,Intercept,0.5682932446070287,0.015970797077843546,35.58327376129698,3.2991827540280866e-7
167,ED50,Intercept,36.27486210313136,0.11517778965123304,314.946676898162,6.1244753355595404e-12
168,hill,Intercept,71.1794841373223,20.6432007824262,3.448083700174938,0.01827534525393789
168,max,Intercept,0.583247206501993,0.024235114986452568,24.066203392392744,2.308156892305977e-6
168,ED50,Intercept,35.35285559359636,0.13851138435999688,255.2342954115079,1.7520168045408504e-11
169,hill,Intercept,44.663060737336984,5.101154034344756,8.755481688385041,3.221380909809637e-4
169,max,Intercept,0.5925111102039272,0.015636662909958143,37.89242715122988,2.411606590670924e-7
169,ED50,Intercept,35.62989481430815,0.11243858659563026,316.8831616715898,5.939677446884134e-12
174,hill,Intercept,51.889405363591734,8.681725806870434,5.97685374059247,0.001878336230992182
174,max,Intercept,0.5688065616919923,0.019574433194048124,29.05864788283861,9.045488225874608e-7
174,ED50,Intercept,35.290711804820724,0.1313521169383727,268.67257740031926,1.3555773201092309e-11
175,hill,Intercept,67.27060367618093,4.705443735650419,14.29633578795355,3.0177200009498356e-5
175,max,Intercept,0.5843616334064429,0.006819290297039085,85.69244128823361,4.101642630155013e-9
175,ED50,Intercept,35.76775172410613,0.042662114353008214,838.3961335845993,4.578037396065994e-14
