species,term,estimate,conf_lower,conf_upper
P. grandis,hill,52.1500091803834,45.04892198576424,60.00531586133815
P. verrucosa,hill,65.28845834006377,53.92063688780407,90.43167527775296
P. grandis,max,0.5776960177712869,0.5701437398890898,0.5877848436759613
P. verrucosa,max,0.5712413626647322,0.546763387949606,0.5774429828248533
P. grandis,ED50,35.806580872347766,35.635617871420095,36.07727741676944
P. verrucosa,ED50,35.6204553782509,35.4033303507386,35.75525446589117
