species,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
P. grandis,0.16292476161638458,28.516,13.716000000000001,37.120000000000005,1.3143476941264958,2.536329233945176,NA,8.604000000000006,23.404000000000003,4.372000000000003,-1.2219815398186802
P. verrucosa,0.1155547392929103,30.478,-Inf,34.086,0.0419250846848699,NA,1.0530850852374714,3.607999999999997,Inf,7.352000000000004,NA
