tag_number,ed50,std.error
175,35.76775360983524,0.03409649049683211
85,35.888740825324234,0.05896347122543805
169,35.62989561625142,0.08089039711122761
156,36.12680154701005,0.07223056223676116
174,35.290745321856086,0.09850288862492759
164,35.60319824822639,0.06830441377752977
154,35.86277549223445,0.25766387297973353
150,35.903967406870024,0.06706098890756243
165,35.59269952674117,0.08165198356845203
99,36.05702202148165,0.055748044900271784
178,35.71316925556873,0.050336765714745615
86,36.22293589898627,0.04901213006446443
100,35.46715979320329,0.0719586179590669
162,35.52406159930559,0.05045309853293671
84,35.58060932562554,0.05700933398525823
83,35.667386493587124,0.0406144283292251
87,35.07940669408487,0.1494903418800548
151,36.06765084391176,0.07358785168050266
167,36.27487999282552,0.07432494250228047
179,35.637547763971064,0.05777404147418227
183,35.23257559272073,0.06519759781152998
168,35.352899834930504,0.09074944689498908
181,35.46455669777808,0.17986701687731432
157,36.06620726156501,0.10443100339757928
