fragment_ID,rss,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
POC-150,0.03178205683881764,0.19569687407145117,28.566,12.817,34.507,NA,4.757348699198552,NA,5.940999999999999,21.689999999999998,3.764000000000003,NA
POC-154,0.006830363578339002,0.18480070214706942,30.603,13.558999999999997,34.132,1.2807183429969613,NA,NA,3.5289999999999964,20.573,3.1209999999999987,NA
POC-156,0.0010867423126382982,0.199752006867745,28.482,22.089,33.141,NA,2.9456108022649548,NA,4.658999999999999,11.052,2.2630000000000017,NA
POC-157,1.8002981429182741e-4,0.1208297492619315,25,-Inf,36.335,NA,0.7093506943430753,NA,11.335,Inf,7.304000000000002,NA
POC-159,0.0029375319712785343,0.21463410553224652,30.075,7.3089999999999975,39.242000000000004,0.8811195925188927,NA,3.1049247753152445,9.167000000000005,31.933000000000007,5.469000000000001,NA
POC-162,0.0010973176840008525,0.09434368261585648,25,-Inf,34.269999999999996,NA,0.9159824000201536,NA,9.269999999999996,Inf,7.515999999999998,NA
POC-165,0.006166110736011753,0.1656615176552578,28.292,18.308,36.109,NA,1.4257897712268532,NA,7.817,17.801000000000002,3.3759999999999977,NA
POC-167,0.005057560153090096,0.10934268676667494,25,-Inf,34.668,NA,0.9016100264193799,NA,9.668,Inf,7.908000000000001,NA
POC-168,0.0021752318299666333,0.153924285179717,25,-Inf,37.932,NA,0.7255379226915792,NA,12.932000000000002,Inf,5.864000000000001,NA
POC-169,0.0011279639927011876,0.13692418789183808,25,-Inf,34.984,NA,0.8147578153838987,NA,9.984000000000002,Inf,8.221000000000004,NA
POC-174,0.01048095608968405,0.08352066014358024,31.163,-1.7199999999999989,33.818,0.653115957544007,NA,2.3251214454866487,2.6549999999999976,35.538,4.107999999999997,NA
POC-175,0.0010686996942021769,0.11685126623394888,25,-Inf,34.375,NA,0.8865495669223817,NA,9.375,Inf,7.619,NA
POC-178,1.4116682410844956e-4,0.1342424927008243,28.598,21.214,39.324,NA,1.9367984648676342,NA,10.725999999999999,18.11,3.4179999999999993,NA
POC-179,0.012134658593916048,0.17569082587894858,27.861,14.134999999999998,34.968,NA,2.8560245701684663,NA,7.107000000000003,20.833000000000006,3.7270000000000003,NA
POC-181,0.009674162319969705,0.08173146696946547,31.27,-Inf,34.528999999999996,0.0085008117736092,NA,1.0080606272320296,3.258999999999997,Inf,7.805999999999997,NA
POC-183,0.02316849213193259,0.1878434841836827,28.37,20.389000000000003,33.747,NA,4.350840562970339,NA,5.376999999999999,13.357999999999997,2.5700000000000003,NA
