species,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
P. grandis,0.14248203884106783,28.990000000000002,-Inf,35.021,0.3148755105383032,2.536329233945176,1.5149895072926196,6.030999999999999,Inf,9.471,-2.2214537234068725
P. verrucosa,0.11498159987146248,22,-Inf,34.153999999999996,NA,0.6242827749714353,NA,12.153999999999996,Inf,10.399999999999999,NA
