species,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,AIC
P. grandis,0.13293959743504238,26.868000000000002,-Inf,36.568,-0.8002466310637375,1.682984755027526,NA,9.699999999999996,Inf,9.249000000000002,-2.483231386091264,-129.1743070022753
P. verrucosa,0.1247640343678793,27.265,-8.759999999999998,34.963,-0.30675149780396926,1.9499037255512155,0.667384470829904,7.698,43.723,9.332,-2.256655223355185,-125.44949256681195
