species,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
P. grandis,0.20431651472142429,29.527,-Inf,35.109,0.13077190987394824,3.404588569182374,1.1885465015224468,5.582000000000001,Inf,8.911999999999999,-3.2738166593084257
P. verrucosa,0.22608564855863675,26.77,-Inf,36.67,1.0870662699388811,1.0017850438887719,4.191599520616114,9.900000000000002,Inf,9.709,0.08528122605010924
